,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
227,0 days 01:01:04.239000,10,0 days 00:01:34.176000,10.0,3.0,,,0 days 00:00:29.978000,0 days 00:00:40.544000,0 days 00:00:23.654000,0 days 01:00:00.041000,0 days 01:00:40.585000,0 days 01:01:04.239000,234.0,267.0,282.0,314.0,True,SOFT,3.0,True,0 days 00:59:30.063000,AlphaTauri,GAS,1,True,2022-03-19 12:44:49.684000,Practice 3
230,0 days 01:07:02.458000,10,0 days 00:01:34.406000,13.0,3.0,,,0 days 00:00:30.117000,0 days 00:00:40.665000,0 days 00:00:23.624000,0 days 01:05:58.169000,0 days 01:06:38.834000,0 days 01:07:02.458000,237.0,268.0,285.0,316.0,False,SOFT,6.0,True,0 days 01:05:28.052000,AlphaTauri,GAS,1,True,2022-03-19 12:50:47.673000,Practice 3
237,0 days 00:38:39.079000,6,0 days 00:01:35.961000,2.0,1.0,,,0 days 00:00:30.678000,0 days 00:00:41.436000,0 days 00:00:23.847000,0 days 00:37:33.796000,0 days 00:38:15.232000,0 days 00:38:39.079000,235.0,268.0,281.0,311.0,False,SOFT,2.0,True,0 days 00:37:03.118000,Williams,LAT,1,True,2022-03-19 12:22:22.739000,Practice 3
242,0 days 00:58:46.108000,6,0 days 00:01:35.667000,7.0,3.0,,,0 days 00:00:30.525000,0 days 00:00:41.300000,0 days 00:00:23.842000,0 days 00:57:40.966000,0 days 00:58:22.266000,0 days 00:58:46.108000,235.0,268.0,281.0,309.0,True,SOFT,3.0,True,0 days 00:57:10.441000,Williams,LAT,1,True,2022-03-19 12:42:30.062000,Practice 3
245,0 days 01:05:09.455000,6,0 days 00:01:36.226000,10.0,4.0,,,0 days 00:00:30.565000,0 days 00:00:41.573000,0 days 00:00:24.088000,0 days 01:04:03.794000,0 days 01:04:45.367000,0 days 01:05:09.455000,236.0,267.0,281.0,311.0,False,SOFT,6.0,False,0 days 01:03:33.229000,Williams,LAT,1,True,2022-03-19 12:48:52.850000,Practice 3
251,0 days 00:28:28.167000,4,0 days 00:01:36.317000,2.0,1.0,,,0 days 00:00:30.790000,0 days 00:00:41.365000,0 days 00:00:24.162000,0 days 00:27:22.640000,0 days 00:28:04.005000,0 days 00:28:28.167000,233.0,266.0,279.0,304.0,False,MEDIUM,2.0,True,0 days 00:26:51.850000,McLaren,NOR,1,True,2022-03-19 12:12:11.471000,Practice 3
253,0 days 00:32:27.307000,4,0 days 00:01:36.535000,4.0,1.0,,,0 days 00:00:30.682000,0 days 00:00:41.420000,0 days 00:00:24.433000,0 days 00:31:21.454000,0 days 00:32:02.874000,0 days 00:32:27.307000,231.0,265.0,280.0,309.0,False,MEDIUM,4.0,True,0 days 00:30:50.772000,McLaren,NOR,1,True,2022-03-19 12:16:10.393000,Practice 3
255,0 days 00:36:07.835000,4,0 days 00:01:37.890000,6.0,1.0,,,0 days 00:00:30.843000,0 days 00:00:42.812000,0 days 00:00:24.235000,0 days 00:35:00.788000,0 days 00:35:43.600000,0 days 00:36:07.835000,234.0,266.0,272.0,308.0,False,MEDIUM,6.0,True,0 days 00:34:29.945000,McLaren,NOR,1,True,2022-03-19 12:19:49.566000,Practice 3
256,0 days 00:37:46.106000,4,0 days 00:01:38.271000,7.0,1.0,,,0 days 00:00:31.688000,0 days 00:00:42.331000,0 days 00:00:24.252000,0 days 00:36:39.523000,0 days 00:37:21.854000,0 days 00:37:46.106000,230.0,251.0,274.0,290.0,False,MEDIUM,7.0,True,0 days 00:36:07.835000,McLaren,NOR,1,True,2022-03-19 12:21:27.456000,Practice 3
257,0 days 00:39:24.740000,4,0 days 00:01:38.634000,8.0,1.0,,,0 days 00:00:31.725000,0 days 00:00:42.494000,0 days 00:00:24.415000,0 days 00:38:17.831000,0 days 00:39:00.325000,0 days 00:39:24.740000,229.0,258.0,272.0,288.0,False,MEDIUM,8.0,True,0 days 00:37:46.106000,McLaren,NOR,1,True,2022-03-19 12:23:05.727000,Practice 3
261,0 days 01:00:08.121000,4,0 days 00:01:33.955000,12.0,2.0,,,0 days 00:00:30.123000,0 days 00:00:40.257000,0 days 00:00:23.575000,0 days 00:59:04.289000,0 days 00:59:44.546000,0 days 01:00:08.121000,235.0,266.0,280.0,,True,SOFT,4.0,True,0 days 00:58:34.166000,McLaren,NOR,1,True,2022-03-19 12:43:53.787000,Practice 3
269,0 days 00:39:15.971000,3,0 days 00:01:36.877000,2.0,1.0,,,0 days 00:00:30.832000,0 days 00:00:41.754000,0 days 00:00:24.291000,0 days 00:38:09.926000,0 days 00:38:51.680000,0 days 00:39:15.971000,232.0,262.0,278.0,306.0,False,MEDIUM,2.0,True,0 days 00:37:39.094000,McLaren,RIC,1,True,2022-03-19 12:22:58.715000,Practice 3
271,0 days 00:43:07.147000,3,0 days 00:01:36.824000,4.0,1.0,,,0 days 00:00:30.864000,0 days 00:00:41.662000,0 days 00:00:24.298000,0 days 00:42:01.187000,0 days 00:42:42.849000,0 days 00:43:07.147000,233.0,264.0,277.0,307.0,False,MEDIUM,4.0,True,0 days 00:41:30.323000,McLaren,RIC,1,True,2022-03-19 12:26:49.944000,Practice 3
273,0 days 00:47:00.181000,3,0 days 00:01:37.174000,6.0,1.0,,,0 days 00:00:31.109000,0 days 00:00:41.763000,0 days 00:00:24.302000,0 days 00:45:54.116000,0 days 00:46:35.879000,0 days 00:47:00.181000,231.0,263.0,269.0,306.0,False,MEDIUM,6.0,True,0 days 00:45:23.007000,McLaren,RIC,1,True,2022-03-19 12:30:42.628000,Practice 3
281,0 days 01:08:00.433000,3,0 days 00:01:34.378000,14.0,2.0,,,0 days 00:00:30.221000,0 days 00:00:40.520000,0 days 00:00:23.637000,0 days 01:06:56.276000,0 days 01:07:36.796000,0 days 01:08:00.433000,234.0,263.0,279.0,304.0,True,SOFT,3.0,True,0 days 01:06:26.055000,McLaren,RIC,1,True,2022-03-19 12:51:45.676000,Practice 3
283,0 days 01:11:45.682000,3,0 days 00:01:35.004000,16.0,2.0,,,0 days 00:00:30.520000,0 days 00:00:40.765000,0 days 00:00:23.719000,0 days 01:10:41.198000,0 days 01:11:21.963000,0 days 01:11:45.682000,234.0,265.0,271.0,306.0,False,SOFT,5.0,True,0 days 01:10:10.678000,McLaren,RIC,1,True,2022-03-19 12:55:30.299000,Practice 3
284,0 days 01:13:22.784000,3,0 days 00:01:37.102000,17.0,2.0,,,0 days 00:00:31.320000,0 days 00:00:41.754000,0 days 00:00:24.028000,0 days 01:12:17.002000,0 days 01:12:58.756000,0 days 01:13:22.784000,231.0,259.0,271.0,286.0,False,SOFT,6.0,True,0 days 01:11:45.682000,McLaren,RIC,1,True,2022-03-19 12:57:05.303000,Practice 3
285,0 days 01:15:00.495000,3,0 days 00:01:37.711000,18.0,2.0,,,0 days 00:00:31.657000,0 days 00:00:41.871000,0 days 00:00:24.183000,0 days 01:13:54.441000,0 days 01:14:36.312000,0 days 01:15:00.495000,228.0,252.0,271.0,280.0,False,SOFT,7.0,True,0 days 01:13:22.784000,McLaren,RIC,1,True,2022-03-19 12:58:42.405000,Practice 3
